Email;Other;Click;Free;Money;Meeting;Project;Win;Urgent;Prize;Class
1;1;1;0;1;0;0;1;1;1; SPAM  
2;0;0;0;0;1;1;0;0;0; OK   
3;1;0;1;1;0;0;1;0;0; SPAM  
4;0;0;0;0;1;0;0;0;0; OK   
5;1;1;0;1;0;0;1;1;1; SPAM  
6;0;0;0;0;1;1;0;0;0; OK   
7;1;0;1;0;0;0;0;0;0; SPAM  
8;0;0;0;0;1;1;0;0;0; OK   
9;1;1;1;1;0;0;1;1;1; SPAM  
10;0;0;0;0;1;1;0;0;0; OK   
11;1;0;0;1;0;0;0;1;0; SPAM  
12;0;0;0;0;1;1;0;0;0; OK   
13;1;1;1;0;0;0;1;1;1; SPAM  
14;0;0;0;0;1;1;0;0;0; OK   
15;1;1;0;1;0;0;1;1;1; SPAM  
16;0;0;0;0;1;1;0;0;0; OK   
17;1;0;1;1;0;0;1;0;1; SPAM  
18;0;0;0;0;1;1;0;0;0; OK   
19;1;1;0;1;0;0;1;1;0; SPAM  
20;0;0;0;0;1;1;0;0;0; OK   
